# {"t_start": 1672454481.1175256, "env_id": "PctContinuous-v0"} 
r,l,t
3.36754,14,3.56657
4.75593,15,4.59098
4.659572,19,5.905015
5.010698,20,7.379499
5.289708,21,8.915009
3.8869,19,10.324652
4.082354,15,11.426457
5.590487,22,13.011123
4.173179,17,14.297658
4.521653,21,15.838295
5.404582,17,17.028243
4.048649,19,18.458056
3.475636,12,19.369239
5.240665,23,21.026605
4.618651,16,22.2298
4.561164,23,23.930001
6.017785,21,25.51875
4.153576,18,26.827587
4.017477,20,28.270952
5.471366,19,29.692281
5.186505,21,31.240961
4.143379,17,32.50142
4.784016,19,33.895737
4.596268,24,35.632284
4.826866,17,36.897133
5.436908,21,38.41807
4.436623,19,39.853053
3.781454,17,41.137401
3.977654,13,42.045743
3.439863,12,42.937847
5.228709,23,44.62341
4.433551,15,45.706891
4.544563,18,47.053719
5.914326,25,48.887922
4.969529,17,50.106962
6.058147,19,51.546137
5.371251,22,53.130209
4.288999,17,54.423208
5.724332,21,55.964318
4.416006,22,57.527137
1.156588,7,58.096045
4.229664,22,59.704974
5.452084,15,60.784204
5.092819,20,62.28823
4.366407,18,63.576113
6.110662,20,65.046271
5.191503,27,67.044239
6.362063,19,68.436052
4.6893,21,69.984217
4.906803,21,71.51069
5.043285,18,72.876798
4.796959,23,74.549451
6.529761,26,76.450075
4.096997,20,77.888069
4.700044,14,78.908003
5.61082,24,80.704261
5.482666,15,81.81427
5.34642,22,83.455095
4.68904,18,84.769985
3.21719,14,85.77367
4.01534,15,86.865228
4.64393,20,88.374872
5.599228,20,89.847222
5.464884,23,91.609
4.124875,17,92.847599
3.484754,13,93.809294
5.23694,20,95.354671
5.891862,26,97.251612
5.441957,22,98.892863
5.523882,26,100.816061
3.216654,15,101.946405
3.946808,14,102.979112
5.799731,20,104.439644
5.481725,21,106.005563
4.454209,21,107.557468
5.320933,24,109.337421
5.807505,23,111.035298
5.990876,22,112.631449
5.713799,24,114.441586
6.08906,20,115.923979
5.636734,26,117.924232
4.628663,15,119.007851
4.693744,16,120.185105
4.778428,17,121.475542
5.428646,23,123.181736
5.148481,20,124.717741
4.696602,21,126.230911
5.367002,21,127.779447
5.044696,24,129.603339
6.009944,21,131.143718
5.690003,25,133.021717
5.978559,24,134.778911
3.808435,18,136.194371
5.119525,22,137.83501
6.259546,28,139.937716
5.574185,20,141.420482
6.168539,28,143.519301
5.883392,22,145.162996
5.90541,24,146.88918
5.99453,22,148.559449
6.464366,28,150.640942
5.22474,21,152.258231
7.15035,23,153.925578
5.99754,17,155.251225
6.112626,24,156.997762
5.961032,21,158.607827
5.952593,28,160.69379
5.903031,26,162.650951
3.578757,16,163.840352
5.915958,22,165.445117
5.311149,20,166.947252
6.70039,25,168.886524
5.859697,28,171.241031
6.500443,17,172.678601
4.63086,20,174.401761
6.167833,22,176.203219
6.164511,25,178.119174
5.081844,19,179.514391
6.39386,26,181.443623
4.837255,19,182.866712
5.555506,21,184.420128
5.90251,23,186.131641
4.726206,23,187.813764
5.756022,25,189.704914
5.597766,26,191.632485
4.032904,16,192.840184
5.126417,16,194.007377
4.849893,28,196.085881
5.661546,22,197.707691
5.287815,21,199.251921
6.007776,25,201.139694
5.22473,18,202.49032
2.791256,10,203.235814
5.715374,18,204.601363
5.059851,21,206.183791
5.843571,24,208.02109
4.179073,23,209.85405
5.181802,25,211.972661
4.944779,23,213.846516
5.405856,25,215.806627
2.722746,15,216.904749
6.528079,26,218.800547
4.508683,24,220.628584
5.537047,24,222.41107
5.227751,20,223.946161
5.654206,25,225.795181
7.080877,29,227.926471
4.759609,24,229.689139
6.311604,24,231.506541
5.158812,15,232.618063
5.975532,23,234.374642
6.599494,24,236.101743
6.133417,26,238.059661
5.168887,28,240.120638
4.041359,17,241.384717
5.384291,16,242.589628
6.412896,26,244.510333
5.709092,17,245.817002
6.546888,17,247.085071
5.781903,27,249.079577
6.099724,29,251.251991
6.071265,27,253.29405
4.249693,22,254.932246
6.009308,25,256.789341
6.157393,26,258.803602
4.631973,22,260.421186
5.19375,19,261.863904
3.642468,14,262.925759
5.050171,24,264.725888
6.130286,26,266.654746
6.042222,24,268.454165
6.039077,23,270.139632
6.475033,19,271.537931
5.615948,20,273.053327
6.673794,28,275.105815
5.351874,17,276.438615
4.401986,18,277.779706
5.057644,21,279.391621
5.330146,21,280.944183
4.365374,20,282.450176
5.604943,22,284.153428
5.851279,22,285.771142
6.068705,31,288.086364
5.950832,22,289.686914
5.816635,24,291.458902
3.050496,12,292.348763
5.395288,26,294.320108
5.086585,22,295.940927
6.184109,29,298.084401
5.608401,23,299.792474
4.715347,20,301.293777
5.716512,21,302.86046
5.740162,21,304.393396
5.649353,27,306.454392
5.672991,21,308.026848
5.170219,23,309.736216
6.631971,21,311.275067
5.302188,19,312.676515
6.266904,29,314.853908
5.430507,21,316.392233
4.400861,19,317.828913
6.484471,30,320.032582
3.700327,17,321.354401
3.577666,16,322.531136
5.983893,25,324.39935
5.175474,17,325.671561
4.937417,20,327.131404
5.156285,21,328.738017
4.33627,14,329.768148
4.733855,15,330.880349
5.563954,22,332.569571
4.7392,20,334.055335
4.943868,16,335.292656
6.340724,19,336.736666
6.848787,27,338.720635
5.889719,27,340.726618
5.015224,26,342.697051
4.412087,15,343.798888
3.907697,19,345.198588
5.170857,26,347.180382
5.280646,19,348.56219
5.494547,19,349.940052
5.725922,22,351.594391
5.07511,23,353.271578
6.236241,26,355.219219
3.652049,18,356.55313
5.79495,29,358.732047
6.423113,26,360.641473
3.872559,15,361.792038
5.795535,21,363.344642
6.370955,22,365.029947
5.972394,27,367.042891
4.462184,20,368.481093
5.272436,24,370.29168
6.401462,24,372.036021
5.673165,20,373.539652
5.778403,21,375.077194
5.445566,22,376.731656
6.765794,25,378.563151
5.512402,18,379.932117
5.07336,23,381.646627
6.009082,26,383.63144
4.912332,18,384.949862
5.009853,27,386.979042
5.343996,29,389.117939
5.37268,24,390.908838
6.18518,28,393.017849
5.246859,22,394.634385
6.037934,24,396.425805
4.23462,20,397.900219
4.874155,22,399.573884
5.252841,19,400.962346
5.416621,19,402.394931
6.166588,17,403.625756
2.410543,11,404.4719
5.114143,20,405.999453
4.929308,17,407.237384
5.155455,18,408.578821
4.822437,21,410.141667
5.802878,28,412.209355
5.008546,22,413.925054
6.155951,24,415.689171
4.625831,20,417.207386
5.297847,19,418.61115
5.538902,26,420.607747
3.797308,16,421.827985
4.645456,17,423.089087
6.265372,32,425.518024
5.819293,20,427.007602
5.266091,23,428.74769
6.028641,29,430.877778
4.955796,17,432.128855
4.462255,25,434.010482
4.874179,20,435.473415
6.343264,25,437.349854
5.375673,22,439.001618
6.120787,23,440.723277
6.208291,28,442.801602
4.7916,23,444.547837
6.454667,21,446.081329
5.608478,20,447.573026
5.623977,19,448.985775
6.928876,19,450.355957
3.599805,18,451.813868
5.342302,25,453.668122
5.112651,21,455.273074
5.317108,25,457.126186
5.690826,27,459.186782
5.384263,19,460.575842
6.134662,30,462.777697
6.810035,21,464.327639
5.128692,17,465.579735
5.310795,21,467.147419
6.462638,25,468.994634
5.952169,30,471.288789
6.342926,28,473.421541
5.894788,25,475.2731
5.344716,23,476.960062
6.138324,26,478.973574
5.648537,23,480.676127
5.467692,24,482.484541
5.269483,22,484.084409
5.472946,25,485.987499
5.349449,20,487.433515
5.560907,23,489.203073
4.606288,21,490.756793
5.228268,27,492.839256
5.858163,30,495.078499
6.200038,30,497.366214
6.153245,28,499.435018
6.327685,29,501.626037
6.627466,26,503.594263
6.391426,32,506.005228
5.70978,18,507.360445
5.051897,20,508.82682
4.677985,26,510.74419
6.808019,23,512.490908
5.849781,23,514.222795
6.08078,28,516.345394
5.441929,26,518.299106
5.121036,17,519.623193
5.224302,23,521.358823
5.471585,22,523.062856
3.421817,13,524.026763
6.259177,29,526.220567
5.079645,23,527.968602
6.488064,30,530.240656
6.376403,21,531.773003
5.795109,28,533.890345
4.989882,21,535.413867
5.399426,22,537.057222
5.788885,23,538.788311
4.134441,16,539.958271
5.853879,24,541.778419
5.071136,25,543.629885
5.467619,26,545.603638
4.767699,24,547.366935
5.788427,25,549.230506
5.606316,22,550.855401
4.753421,25,552.767895
3.914884,14,553.79526
6.702523,36,556.525008
5.861317,26,558.460374
5.598468,23,560.190873
5.371527,24,561.967772
5.970509,19,563.44049
5.302411,26,565.341861
6.645385,21,566.887732
6.656982,22,568.504972
5.003079,21,570.088215
4.885291,20,571.592081
5.138289,22,573.231112
6.830447,31,575.621998
6.926495,21,577.163249
5.337438,20,578.693833
6.524793,31,581.006588
6.59836,23,582.730917
5.918723,21,584.297141
5.852334,26,586.262709
6.204524,28,588.311912
5.223818,26,590.26889
7.178485,30,592.539234
5.816314,25,594.421267
6.508703,27,596.415226
5.06414,21,598.022612
5.129484,25,599.901824
5.71627,26,601.853818
5.109774,18,603.251092
4.724019,20,604.769725
6.375736,22,606.394241
5.80777,30,608.647415
5.829901,20,610.095967
6.047719,25,611.965153
6.13599,26,613.931917
4.179563,21,615.543628
5.605837,22,617.158489
6.26068,28,619.252807
7.342031,32,621.665025
6.005185,20,623.134081
5.253144,19,624.560113
5.311654,22,626.184511
6.209017,27,628.253134
6.558713,29,630.441548
6.222856,24,632.27826
6.881428,29,634.404312
5.285907,26,636.326852
6.219194,23,638.054288
4.798359,26,640.0658
3.994416,17,641.339679
6.769297,31,643.697464
5.808363,25,645.553906
4.623551,16,646.775911
6.648945,23,648.464358
6.017515,24,650.315838
6.035856,28,652.390764
6.409134,27,654.444972
6.317727,30,656.697756
6.401062,23,658.455618
5.933627,26,660.390053
5.607357,22,662.024618
5.112942,24,663.824711
5.347848,25,665.722656
5.241432,20,667.212297
5.812663,26,669.190496
7.128597,21,670.773376
6.100622,23,672.511357
6.689448,27,674.553018
5.312162,23,676.279013
5.361237,27,678.287815
5.939161,24,680.117255
5.305132,25,681.973312
6.431297,25,683.9112
6.734817,25,685.768688
5.737959,25,687.686816
6.346365,30,689.890781
3.848009,15,690.984333
6.999318,25,692.882324
4.646511,17,694.172192
6.639415,24,696.005926
5.925407,28,698.106602
3.692769,22,699.804228
6.597955,24,701.560032
5.638547,23,703.330153
6.350361,26,705.26971
6.784814,23,707.055854
6.26766,28,709.127343
5.589882,17,710.443659
6.484915,25,712.335221
5.513417,24,714.180597
5.979811,23,715.879198
