# {"t_start": 1672454481.1089234, "env_id": "PctContinuous-v0"} 
r,l,t
3.424632,13,3.516716
4.600194,14,4.463126
4.045164,13,5.354239
5.60087,22,6.970871
2.493466,12,7.836744
3.890698,20,9.299938
3.961429,18,10.643411
4.902839,21,12.168212
3.297734,11,12.961371
4.781119,15,14.090609
5.061448,19,15.485135
3.846036,18,16.781088
4.097322,18,18.109842
5.317192,23,19.8
3.002029,11,20.584528
4.407134,18,21.978532
4.683577,17,23.207821
4.876643,22,24.835524
4.772185,17,26.137324
2.299017,10,26.841985
5.045435,22,28.418354
4.398468,15,29.543947
5.224291,20,31.021191
3.559137,16,32.178383
4.531987,20,33.68513
3.17071,15,34.772986
5.710262,19,36.195392
4.227065,18,37.504087
5.159523,18,38.804596
5.139108,18,40.15573
4.356063,20,41.646617
4.201047,19,43.022269
3.874851,17,44.278706
5.332155,20,45.722852
3.455424,16,46.873165
5.301854,23,48.611039
3.842789,21,50.122904
4.82312,20,51.631584
4.284929,18,52.945833
5.239402,24,54.741998
4.370025,18,56.041847
3.354211,16,57.171115
3.359194,12,58.108391
4.750661,17,59.35876
4.519626,21,60.869391
4.080664,18,62.237781
3.679032,14,63.234221
4.777236,20,64.696549
5.72935,22,66.346074
3.994511,11,67.129768
5.55908,15,68.21883
5.223926,23,69.931
4.824309,24,71.691787
4.648583,19,73.12309
4.115126,17,74.347824
5.091486,17,75.55254
5.447955,20,77.030543
5.009614,23,78.69532
3.990962,17,79.946539
4.538859,21,81.550726
3.305982,12,82.423126
4.903009,20,83.933082
4.351092,18,85.236455
4.907385,20,86.681208
5.430532,26,88.623344
4.200685,20,90.095649
6.063612,22,91.758416
4.087611,17,93.023332
4.781279,18,94.324688
4.781603,23,96.09237
4.097135,20,97.544332
4.856937,19,99.002651
4.064484,12,99.867627
4.69296,14,100.901642
5.158701,25,102.792716
4.229365,20,104.260739
6.088627,29,106.382177
5.360801,18,107.706267
4.433771,14,108.74974
4.366235,21,110.321952
5.900417,28,112.354026
4.629783,21,113.935445
5.357149,19,115.367586
3.404431,16,116.540264
4.254381,14,117.626442
4.771647,17,118.857288
5.799526,24,120.643897
4.766407,17,121.937244
5.669827,22,123.579242
3.682223,18,124.947226
5.406991,27,126.902425
5.973025,19,128.37474
4.397105,19,129.7682
4.277858,18,131.088736
5.280759,19,132.54034
5.883497,24,134.295755
5.239253,26,136.279459
5.755331,23,137.996111
6.302769,25,139.863044
6.185947,30,142.075435
4.485534,21,143.696019
4.882132,21,145.24228
5.698407,26,147.168866
4.987251,23,148.878739
5.545588,24,150.6564
6.81228,27,152.717102
5.182281,25,154.605648
