# {"t_start": 1672454481.0827203, "env_id": "PctContinuous-v0"} 
r,l,t
4.445809,18,3.876107
4.439125,20,5.247849
3.324656,12,6.068279
5.897661,22,7.720676
1.993787,10,8.44672
2.591887,8,9.01985
2.917944,13,9.967612
4.750199,15,11.097277
5.016843,20,12.560516
3.894609,18,13.919867
4.358563,20,15.372891
4.708774,20,16.801503
4.750279,20,18.287099
5.236795,17,19.533317
4.107947,17,20.750471
4.995978,19,22.198105
5.052639,18,23.5322
5.390045,30,25.775893
5.407568,21,27.272056
4.766536,22,28.910635
4.371378,15,30.00255
4.488166,17,31.271116
2.417788,16,32.467827
4.967878,20,33.929416
5.09067,19,35.305722
4.909791,22,36.932183
5.260057,23,38.617561
3.476484,16,39.820415
4.627693,17,41.070425
3.353603,18,42.380419
4.457226,23,44.094551
4.641434,20,45.541256
3.95973,21,47.087728
4.822013,22,48.698278
4.176921,18,50.001465
5.392397,32,52.372133
4.702323,24,54.116573
6.264605,20,55.625575
4.72854,13,56.578176
2.431849,15,57.65923
4.240927,23,59.376878
5.466394,22,60.980125
5.190164,22,62.609685
1.694532,8,63.187518
3.786662,18,64.488237
5.638063,26,66.438655
5.501477,18,67.739568
3.851969,11,68.538953
5.184693,23,70.242932
4.228358,20,71.713715
5.307266,22,73.33956
5.081256,21,74.847582
6.154051,22,76.484453
4.557765,16,77.635114
5.476847,19,79.00903
5.615978,23,80.736501
4.682583,21,82.307257
5.089635,17,83.562918
4.723609,20,85.033285
4.256867,20,86.470654
4.824275,18,87.840931
5.544371,19,89.217368
5.410707,20,90.679187
3.463413,17,92.003803
5.952974,25,93.841551
4.94718,28,95.954592
3.566025,17,97.222509
4.621654,23,98.929382
4.773268,19,100.323647
5.848621,26,102.235432
4.725026,24,104.056304
5.847146,23,105.698962
4.170125,21,107.286095
4.538816,20,108.768366
4.143755,13,109.773426
5.458584,21,111.296994
5.38379,23,112.931333
3.382561,16,114.186258
5.251856,25,116.054493
5.748233,27,118.093846
5.061537,23,119.780755
5.265008,18,121.143097
5.322109,16,122.314565
5.747304,30,124.54721
6.247794,23,126.264112
4.474009,23,127.981006
4.509762,17,129.265141
4.233664,14,130.319613
5.621599,23,131.984725
6.0964,22,133.669744
5.520727,22,135.256958
4.703635,23,137.038997
6.191186,22,138.670512
5.917483,23,140.406756
5.720131,19,141.824201
5.477652,25,143.716282
4.481766,17,144.961522
5.468717,22,146.557178
5.66054,22,148.232085
5.407154,20,149.731656
5.53127,20,151.242363
6.255156,28,153.30015
5.03908,22,154.990751
6.09988,23,156.659091
5.229808,17,157.938244
4.916165,23,159.675554
5.237686,25,161.546062
3.934704,19,162.986596
6.440312,26,164.87521
5.844264,29,167.05228
5.084827,24,168.923691
4.827919,25,171.00469
6.324713,27,173.285697
4.615825,15,174.5945
6.05694,19,176.170709
5.196454,18,177.528227
5.304675,19,178.970611
6.559502,20,180.453526
5.580963,20,181.968694
4.725147,16,183.130842
5.498931,25,184.978036
5.577161,21,186.518852
5.905164,24,188.281412
4.952158,20,189.807435
5.318049,18,191.125721
6.104125,22,192.804839
4.782881,21,194.332319
5.441085,23,196.054241
6.465345,25,197.89909
5.007548,20,199.379415
3.683522,18,200.736962
4.722597,22,202.38823
5.658632,22,204.041298
4.967801,23,205.736159
5.692306,27,207.825972
5.305963,23,209.665297
5.833974,26,211.865108
5.941932,24,213.80467
5.551569,31,216.196248
