# {"t_start": 1672454481.0872173, "env_id": "PctContinuous-v0"} 
r,l,t
6.172667,25,423.045727
5.549279,24,424.877808
6.537318,33,427.310742
6.443087,28,429.441116
5.584356,25,431.280909
5.527568,22,432.932975
4.826369,22,434.581435
5.834871,22,436.205426
4.586065,21,437.753744
4.36489,18,439.096952
5.786732,24,440.919012
5.274939,22,442.533392
5.74288,25,444.411409
5.175702,21,445.9474
6.169256,26,447.904163
5.472945,26,449.822955
5.74781,29,452.084024
5.772477,29,454.210544
4.970714,27,456.296096
5.670509,25,458.131451
5.266054,19,459.588828
4.927142,21,461.130558
5.145612,21,462.678723
4.28421,17,463.900438
5.387315,23,465.609805
5.848405,24,467.407488
4.562179,18,468.720845
3.914062,14,469.816297
6.4308,27,471.862632
5.956445,26,473.822012
6.117623,31,476.104151
3.409815,16,477.34793
6.416618,20,478.834013
4.007902,13,479.828075
5.838182,24,481.653089
4.758898,17,482.887317
5.626391,24,484.67662
5.216128,23,486.379912
5.048722,17,487.623158
5.647407,22,489.302751
5.489874,29,491.465641
5.503619,28,493.626665
5.531726,24,495.394812
6.341125,26,497.398752
7.445628,29,499.531987
6.442656,20,501.055351
6.61755,28,503.132255
5.585471,19,504.620658
6.154891,28,506.695138
5.771255,26,508.655363
5.973456,29,510.773857
5.602184,24,512.585471
6.268324,29,514.792968
3.771818,17,516.077182
5.642194,23,517.807777
6.298177,26,519.791551
5.014189,23,521.549899
5.147804,18,522.926841
4.885468,16,524.146544
3.892686,15,525.250273
5.383092,19,526.700469
5.887748,24,528.513825
6.428612,31,530.83838
4.789308,22,532.470946
6.214694,33,534.933025
5.493833,20,536.403604
6.335964,24,538.216013
5.722637,23,539.923806
4.23042,22,541.575836
6.895271,25,543.427629
5.143018,24,545.256349
5.789368,21,546.800138
6.382914,25,548.675417
5.098166,19,550.066035
6.138212,23,551.799008
5.478276,20,553.331234
4.861596,23,555.006325
5.469165,18,556.421062
5.722639,26,558.349164
5.667173,22,559.992538
5.295626,23,561.705052
5.64403,22,563.331609
4.604385,24,565.147961
4.989771,22,566.783114
5.491536,15,567.908731
4.55408,14,568.904874
6.472155,26,570.898821
4.815697,23,572.561631
5.318112,19,574.009139
5.740404,27,576.093337
5.657565,22,577.731252
5.983574,26,579.698612
6.867193,28,581.746944
4.262698,16,582.997815
5.537609,26,584.921636
5.164594,17,586.204384
7.377446,31,588.50396
5.963963,24,590.29913
4.296688,20,591.829309
6.51037,23,593.571931
5.032524,16,594.751957
6.496081,22,596.380266
5.745116,24,598.190615
6.39726,33,600.679963
4.688255,26,602.665164
6.880693,31,605.0115
6.294779,28,607.086681
4.604771,17,608.339296
4.023932,14,609.400458
6.413223,28,611.471145
5.803577,24,613.333851
5.857401,27,615.335799
6.357105,23,617.052585
6.176572,24,618.811235
5.578923,22,620.509826
6.781512,28,622.548943
4.465167,18,623.926866
5.267355,19,625.326921
5.601359,24,627.173688
5.310077,21,628.7281
5.862168,30,631.046008
6.396044,27,633.031041
6.138234,28,635.14144
5.341124,18,636.426906
5.35929,25,638.305856
6.744255,34,640.925672
6.982509,34,643.500728
6.049736,27,645.488477
5.297266,20,647.016273
5.587974,22,648.653356
6.426368,21,650.275778
6.094944,24,652.062786
3.821369,12,652.943571
4.702263,20,654.476254
5.536938,19,655.919547
6.807656,28,658.040452
3.93113,14,659.057552
5.413628,26,661.047107
5.433266,18,662.359463
5.498038,25,664.22014
5.566643,21,665.819662
3.812618,15,666.940308
6.741151,22,668.643008
6.842888,25,670.505256
5.589885,21,672.06831
5.885647,26,674.051507
5.523739,22,675.681316
5.457782,22,677.356356
4.795074,27,679.360186
6.468131,16,680.618248
5.499899,23,682.309751
6.065994,18,683.737901
5.250091,24,685.527676
6.126023,23,687.226533
5.479895,26,689.181605
6.389847,23,690.881172
5.675028,22,692.540573
6.882284,25,694.406453
5.872391,14,695.506662
5.045006,21,697.065419
6.565713,27,699.154079
5.438492,22,700.794495
5.866605,19,702.210688
5.345142,20,703.730373
5.007144,22,705.373341
6.378926,28,707.53022
6.169206,21,709.089108
6.270623,24,710.925668
6.585684,21,712.510009
4.7203,18,713.914593
6.330711,23,715.609982
6.301501,25,717.445144
3.91377,19,718.905027
5.921166,21,720.461261
5.916961,33,722.959328
6.110985,24,724.737104
5.964781,23,726.466545
6.174206,24,728.253822
5.4433,25,730.196958
5.644537,24,732.001466
5.675778,27,734.033823
7.342636,32,736.47798
6.352278,31,738.859082
7.198525,33,741.354209
6.933578,23,743.035939
6.209267,33,745.574353
5.510393,26,747.496939
6.787805,24,749.333304
6.484801,23,751.035126
5.035381,25,752.939405
3.980882,15,754.052588
6.50443,23,755.847942
6.350156,22,757.48414
5.654644,20,759.002875
6.70622,27,761.060963
6.674209,31,763.383783
6.17034,26,765.313286
5.913276,20,766.87301
4.822381,23,768.599233
5.952624,23,770.294065
4.157098,12,771.251129
5.970154,22,772.896989
6.14079,29,775.101823
6.416745,30,777.34223
4.393337,17,778.638819
5.025194,21,780.227265
5.576144,23,781.97332
7.291201,34,784.503572
5.924015,24,786.352947
4.765596,19,787.777646
5.026211,21,789.35182
6.365298,23,791.036316
6.162243,23,792.77206
5.118018,18,794.141092
5.840486,24,795.922756
4.797617,18,797.340656
6.491224,21,798.917455
6.035341,22,800.616473
6.488628,29,802.733342
5.766853,24,804.581888
6.086345,24,806.361484
6.208971,21,807.928635
5.594452,18,809.311376
6.384157,17,810.566519
5.704393,24,812.422452
6.138524,18,813.799317
5.582289,21,815.378081
5.003577,20,816.891505
5.910179,30,819.099308
5.628617,26,821.086812
7.009596,27,823.096567
6.070242,21,824.735153
5.97153,21,826.311829
5.968638,28,828.426488
