# {"t_start": 1672454481.0914512, "env_id": "PctContinuous-v0"} 
r,l,t
3.40122,17,3.808714
2.0143,11,4.560153
3.297525,15,5.584012
5.189909,20,7.047282
3.550433,16,8.20697
4.541575,21,9.732934
4.864697,21,11.319387
4.14362,15,12.421615
4.552758,20,13.910538
4.691287,19,15.269601
3.842007,19,16.636931
4.965252,20,18.120482
4.460545,21,19.656609
4.657352,18,20.978661
4.636248,19,22.419912
4.994751,17,23.665397
4.66295,17,24.980486
4.73678,15,26.067699
5.243655,24,27.763897
5.671645,22,29.419519
4.943529,20,30.889707
4.826791,15,31.994124
4.210287,16,33.205403
4.987776,19,34.589137
4.547121,19,35.999145
4.46477,19,37.358789
4.777672,18,38.679277
4.197735,16,39.881524
5.023398,21,41.425557
5.732361,20,42.868359
3.305513,11,43.717675
5.158158,19,45.087318
4.409696,23,46.753414
5.46833,27,48.751723
4.85071,23,50.428195
5.455514,21,52.002959
5.40209,17,53.250647
3.774187,14,54.245459
4.672312,26,56.216044
5.593152,22,57.776093
4.954866,21,59.368182
4.532369,23,61.040096
5.204131,23,62.728547
4.222758,18,64.045914
5.552325,18,65.420784
4.016769,16,66.592031
5.744716,23,68.227859
5.711277,20,69.715297
6.009388,25,71.53434
5.029502,17,72.844175
3.75751,15,73.937522
4.699322,24,75.650674
4.704957,17,76.911724
6.042198,20,78.348808
5.569929,26,80.30095
5.676378,23,81.999111
3.832001,18,83.311646
5.288016,23,85.023613
3.857547,18,86.329306
5.873357,23,88.040154
4.933341,24,89.806036
4.579948,14,90.838512
4.324528,20,92.358197
5.672579,26,94.269991
3.871682,14,95.383305
4.536467,27,97.340102
5.580303,21,98.919201
3.601133,16,100.115881
4.559824,27,102.101291
5.45715,26,104.049858
5.483085,24,105.756795
5.122548,19,107.205328
5.906582,26,109.129775
5.510561,22,110.762313
3.089062,14,111.784328
2.505969,12,112.66037
3.647,16,113.883304
5.32607,17,115.152254
5.521255,21,116.683093
5.510904,20,118.216294
4.631434,19,119.605107
5.54873,25,121.503455
5.883865,27,123.520316
5.359411,22,125.184357
5.528725,18,126.479877
5.539745,21,128.041133
5.434293,20,129.561397
5.018068,23,131.239356
5.233027,20,132.753194
4.951165,29,134.873906
5.673401,27,136.963514
5.461322,27,138.949078
5.94667,30,141.207156
6.437402,22,142.830657
5.028959,22,144.503523
6.607995,30,146.707514
5.305482,21,148.289263
6.833949,29,150.456351
5.518157,15,151.60173
6.126086,26,153.516717
5.57757,18,154.916698
6.46621,20,156.371413
5.718583,21,157.927102
6.294008,21,159.524659
6.102719,24,161.334415
6.139978,22,162.976795
6.220868,22,164.600486
5.293864,20,166.108114
6.841243,31,168.481276
5.176278,21,170.143351
5.048633,24,172.185693
5.064636,23,174.160537
3.838177,13,175.280367
5.768866,18,176.69358
5.098582,13,177.668552
5.035593,21,179.24068
5.308952,15,180.351899
6.115043,28,182.464235
4.92828,25,184.308284
6.012383,24,186.088755
6.831064,25,187.91053
5.797659,25,189.799302
5.177068,19,191.210971
5.389402,18,192.522633
6.343542,29,194.69117
4.3106,22,196.309435
5.599197,23,198.026609
4.254925,19,199.441618
3.978882,15,200.59042
5.610417,22,202.220986
5.972657,23,203.967778
3.19555,16,205.13554
5.787128,20,206.6504
3.962207,16,207.887632
5.597606,22,209.656566
4.773532,13,210.698649
6.128266,17,212.174148
4.702528,19,213.696288
5.751226,23,215.483556
2.855028,12,216.398708
5.208,14,217.410582
6.50952,27,219.485289
5.119565,23,221.161231
5.440367,21,222.71881
5.377482,20,224.244069
5.705154,22,225.891773
6.294963,19,227.313472
5.551856,24,229.05676
5.834035,17,230.317383
6.142592,27,232.340958
4.907431,27,234.400924
6.00893,24,236.126412
4.776376,21,237.678082
5.602946,17,238.964351
2.518006,7,239.487472
5.69129,21,241.030219
5.680416,22,242.684253
5.188139,17,243.938723
6.011659,31,246.307683
5.379286,24,248.075552
6.112437,24,249.865081
5.113822,21,251.417968
5.839193,24,253.25554
5.359423,19,254.666761
5.983317,23,256.36391
5.639885,27,258.457575
4.907904,22,260.072817
5.465463,18,261.449318
4.352092,19,262.882395
5.720831,23,264.584785
5.966143,26,266.535885
5.63471,24,268.319942
4.20917,23,270.037927
4.886971,19,271.422736
5.594033,22,273.07619
4.98231,26,274.964142
4.610764,25,276.905523
5.511422,27,278.921446
5.426238,17,280.228154
4.781185,25,282.102416
6.020738,24,283.941154
4.04367,22,285.567248
6.740417,31,287.90783
6.501811,21,289.414619
5.683638,17,290.698255
6.636557,25,292.511952
6.181715,26,294.482512
5.605578,23,296.197095
6.007171,21,297.711728
4.793864,16,298.916015
5.820238,15,300.026803
4.84905,20,301.524649
5.645328,29,303.692074
5.198525,20,305.165108
5.762032,24,306.99934
4.852658,18,308.344657
6.452778,29,310.482076
4.653317,19,311.882828
6.382286,30,314.154397
5.538227,25,315.975384
5.097294,23,317.718639
5.274019,21,319.255549
5.101959,17,320.545767
5.517008,20,322.014824
5.701042,23,323.714459
5.482644,25,325.62266
6.762122,38,328.492797
5.852551,20,329.962189
6.482186,27,331.990465
5.428173,21,333.547648
5.371343,28,335.692407
5.10194,16,336.898651
6.122405,30,339.163583
6.080973,26,341.048318
4.136352,17,342.310997
5.985072,24,344.0911
3.737374,18,345.462596
5.203246,23,347.206547
4.811298,23,348.880377
2.923616,13,349.833287
6.848732,25,351.686155
5.522988,30,353.934951
5.795882,27,355.91063
5.274434,24,357.717092
6.253512,26,359.633322
4.362651,20,361.105017
