# {"t_start": 1672454481.1044621, "env_id": "PctContinuous-v0"} 
r,l,t
4.223632,14,3.578851
4.263513,18,4.844973
4.473322,21,6.266327
4.478188,17,7.528246
5.764815,18,8.858558
5.229668,25,10.708492
4.830829,19,12.096941
4.236608,18,13.397144
3.315733,13,14.377959
4.377907,19,15.786605
5.463024,20,17.20692
4.687853,20,18.69859
4.865488,17,19.924584
3.934227,18,21.327449
5.49172,21,22.838894
4.489141,16,24.00607
4.388855,14,25.107735
4.922266,23,26.779294
5.400313,15,27.842995
5.214184,21,29.407186
5.612214,23,31.082992
4.510137,19,32.520236
4.990903,19,33.907723
4.762686,15,34.993469
5.379162,25,36.839898
5.910451,22,38.431146
4.995808,22,40.08908
4.308384,18,41.411968
4.839959,17,42.660713
5.668125,24,44.43833
4.703411,22,46.002085
3.915311,17,47.265791
5.246313,25,49.107259
4.935752,23,50.829946
4.701974,22,52.417091
5.157042,23,54.09534
5.211623,20,55.605499
5.474504,21,57.099993
5.488304,21,58.672801
1.790883,12,59.584371
4.863316,21,61.097497
5.976013,24,62.870086
2.615602,15,63.961326
4.193309,21,65.542939
4.2813,15,66.643499
5.630191,20,68.086652
3.789779,21,69.63294
4.195216,18,70.957782
2.771791,11,71.762153
4.945335,23,73.482576
5.115318,19,74.827593
3.691137,13,75.772854
4.536068,18,77.123437
4.491819,18,78.40207
6.164125,19,79.799876
5.176649,20,81.307123
5.867035,23,83.017585
4.997139,23,84.717917
6.084393,22,86.316387
4.742849,24,88.096668
2.109606,10,88.821725
4.67414,18,90.162638
4.840506,17,91.457283
4.991246,19,92.859224
3.371382,13,93.821351
4.666427,13,94.779268
4.386067,16,96.024161
4.65389,16,97.203871
5.342301,18,98.501629
5.453741,23,100.235961
4.034169,16,101.410761
6.282437,24,103.228983
6.356653,28,105.241802
5.799968,19,106.656088
6.696758,21,108.23317
3.757191,20,109.753539
4.896875,19,111.118453
4.605772,21,112.647356
4.280293,17,113.933161
5.709003,27,115.934666
5.669494,21,117.552497
5.835396,25,119.393513
4.520385,17,120.640791
4.520382,20,122.158737
6.171454,24,123.9464
4.917416,25,125.808714
4.27241,17,127.039662
5.087786,22,128.738086
5.335313,32,131.085422
3.369249,13,132.103704
5.181344,15,133.204078
4.719594,22,134.791231
5.609126,19,136.274103
6.427348,28,138.355278
5.580903,26,140.318931
5.816543,25,142.172842
5.432101,22,143.827627
5.883134,25,145.675264
4.469501,17,146.901971
5.860587,27,148.945453
5.093141,22,150.586976
6.296746,27,152.647447
5.983016,21,154.177214
6.837923,32,156.567329
5.036677,19,158.028135
4.779282,21,159.582716
4.944683,20,161.08752
5.283647,22,162.762134
4.867266,19,164.130009
5.173504,22,165.797146
4.353515,18,167.10252
5.390727,21,168.767559
5.333698,23,170.635122
6.205476,26,172.859026
2.925575,15,174.152545
6.458376,25,176.216267
5.748042,27,178.289339
6.415788,20,179.756213
5.444377,22,181.387617
6.194466,25,183.246982
5.44285,26,185.150081
4.465125,15,186.273798
5.509424,24,188.030131
5.412087,20,189.551224
6.584089,27,191.571693
5.378906,26,193.522154
4.482363,17,194.747227
6.004026,21,196.296388
5.669847,26,198.237705
4.975028,19,199.631275
5.620664,25,201.528146
6.303097,24,203.3169
5.538979,27,205.343701
5.29219,21,206.945275
