# {"t_start": 1672454481.13058, "env_id": "PctContinuous-v0"} 
r,l,t
4.627879,18,3.827415
3.203973,19,5.137165
4.901113,21,6.648155
3.13089,13,7.605824
4.825058,21,9.134716
4.546438,19,10.544466
4.307055,17,11.775479
4.909806,17,12.997692
4.397192,19,14.423083
3.785882,18,15.760493
6.460227,19,17.109165
4.572065,19,18.513664
4.828686,22,20.124122
5.032828,23,21.85067
3.58919,16,23.045463
3.06511,12,23.916623
3.354076,15,25.082379
2.638702,10,25.799745
5.360531,19,27.155116
4.71859,24,28.954976
3.956647,15,30.052931
4.692939,16,31.222053
5.572867,24,33.030845
4.560629,21,34.547599
2.694152,9,35.190489
3.943023,13,36.16594
3.801017,20,37.618418
5.262173,17,38.869735
3.837261,14,39.906126
5.718766,18,41.255912
4.851025,21,42.767425
5.702551,21,44.324158
5.197253,18,45.630846
3.568477,10,46.34428
4.418967,18,47.700232
4.482591,19,49.082257
5.59012,16,50.250944
4.08684,14,51.2997
3.408701,14,52.324686
5.067421,17,53.56367
5.246372,20,55.07741
3.875256,18,56.371491
3.959087,19,57.73735
3.967634,14,58.813658
4.666366,17,60.050828
5.704944,20,61.511434
5.519844,27,63.494198
3.199683,11,64.305453
4.420187,24,66.115742
4.3888,20,67.561147
4.206149,19,68.911179
4.864848,18,70.263193
4.498985,22,71.872343
4.087641,16,73.092513
5.324824,20,74.536776
4.580052,17,75.7473
4.748188,17,77.003427
3.967641,16,78.175119
3.44804,16,79.333811
4.450968,15,80.487947
4.71747,21,82.029665
4.414722,15,83.130372
4.672726,20,84.622983
3.01698,10,85.340262
4.544178,18,86.65127
5.596959,20,88.167131
5.228663,23,89.834195
4.897644,20,91.365084
5.032644,18,92.693384
4.535124,24,94.467028
5.404707,20,95.997271
6.239415,16,97.174804
3.97068,17,98.40704
6.080259,22,100.073899
4.670379,17,101.319671
5.183255,22,102.96698
5.528339,19,104.363682
5.148081,22,105.992973
5.481155,21,107.546474
4.285223,20,109.024931
5.210301,21,110.585939
4.926228,21,112.098282
5.160849,26,114.039768
5.280874,22,115.704397
5.476343,24,117.526869
5.241627,21,119.060259
5.273051,21,120.614309
6.040401,20,122.132153
5.133705,23,123.850945
5.249357,19,125.274101
5.199754,20,126.711927
6.100091,21,128.34551
4.658553,14,129.352085
5.594236,28,131.431046
2.635997,12,132.348876
5.94409,25,134.175241
6.134388,21,135.812217
6.317788,22,137.439617
5.594079,23,139.150131
5.368667,25,141.031799
6.667212,22,142.656615
6.390588,23,144.395291
4.407889,16,145.583949
4.326183,23,147.283024
4.904692,19,148.683796
6.017031,28,150.824537
6.746882,28,152.894243
5.372212,18,154.225158
5.82185,24,156.041888
6.448452,26,157.955801
6.17024,24,159.789435
5.621176,23,161.495324
5.849661,24,163.306158
3.677567,14,164.33392
5.853285,23,166.069206
3.408204,17,167.318143
6.971106,29,169.617999
6.223792,24,171.662725
5.264782,24,173.658994
5.517412,22,175.602104
5.78929,22,177.235503
5.328574,27,179.297838
4.523928,20,180.778752
3.847624,20,182.290246
5.505992,19,183.660801
5.886373,21,185.259243
5.135193,21,186.786582
5.485401,23,188.443816
4.477014,21,190.067768
5.185188,20,191.546429
4.565308,16,192.759529
6.231636,26,194.653824
6.404232,28,196.766581
4.467586,21,198.277359
4.407835,18,199.607358
4.691949,16,200.856886
4.613009,17,202.109823
4.991959,19,203.526526
6.53116,20,205.024923
5.425642,22,206.680692
5.098271,26,208.661715
4.867489,25,210.734601
6.049529,25,212.842719
4.962697,25,214.825719
6.397584,28,216.952459
5.066084,15,218.058123
3.677168,17,219.305751
4.981009,24,221.119653
6.038512,26,223.051932
4.7964,23,224.819819
3.326998,11,225.619634
7.115301,29,227.775089
5.419332,18,229.110768
6.37673,25,230.98362
4.860484,20,232.466405
5.767064,17,233.722856
5.42619,21,235.297276
6.531762,28,237.339135
4.617459,20,238.854258
5.048075,22,240.470596
5.333415,23,242.209222
5.820731,26,244.126544
6.386315,28,246.267747
4.865797,19,247.661357
5.357334,21,249.260381
5.945316,24,250.999986
