# {"t_start": 1672454481.117517, "env_id": "PctContinuous-v0"} 
r,l,t
4.855464,16,3.727518
4.465022,27,5.561499
4.903855,21,7.090285
4.056376,15,8.187831
4.118916,17,9.449002
4.014526,15,10.562879
4.003172,20,12.030498
4.340686,16,13.180175
5.318048,23,14.882051
5.225955,19,16.267015
4.837731,15,17.325866
3.722607,16,18.533697
5.308195,23,20.208803
4.495374,19,21.665442
3.69427,15,22.767761
5.045267,21,24.309039
3.388256,12,25.239082
4.845994,17,26.47211
5.505353,28,28.477055
3.110344,9,29.180116
3.27927,13,30.139524
5.556438,19,31.540832
5.455233,27,33.54566
4.617007,19,34.922236
4.65253,14,35.982496
4.928952,28,38.006687
5.114484,20,39.454853
5.319936,22,41.141354
3.550823,11,41.923792
5.789574,19,43.32701
5.424723,26,45.222211
5.115628,21,46.73248
5.205266,17,48.000499
6.050439,27,49.97555
4.781838,18,51.318824
4.092399,15,52.410315
2.771227,12,53.297815
5.739519,19,54.732951
5.33825,24,56.458618
1.927884,9,57.097298
4.956326,24,58.898419
4.189109,13,59.868219
4.118318,15,60.952866
5.233768,16,62.163812
4.50707,19,63.514587
5.069753,21,65.055127
4.084657,15,66.203888
5.023745,16,67.345959
5.972195,22,68.934455
4.632077,25,70.780838
4.959737,17,72.052832
6.181952,29,74.21145
4.403669,22,75.767255
4.854529,23,77.473595
4.244296,15,78.551013
4.808976,18,79.868116
3.61346,15,81.006608
4.821632,26,82.920691
5.64006,17,84.221946
5.074438,18,85.490673
3.5085,16,86.672704
4.28021,19,88.092804
4.499409,20,89.565646
5.225987,26,91.549923
4.395087,18,92.857081
4.516298,19,94.250311
4.275738,19,95.734767
5.265498,22,97.321331
5.425428,26,99.269175
4.135927,16,100.463685
6.25436,25,102.348688
4.69898,20,103.827584
5.790609,21,105.304216
4.894539,20,106.812977
3.464893,14,107.861374
5.623844,26,109.811623
3.858563,13,110.750649
5.803609,26,112.641416
5.728579,25,114.54537
6.154553,21,116.094493
5.036648,25,117.996738
3.795489,17,119.218726
3.892406,18,120.569983
5.843655,26,122.52339
5.400553,21,124.081582
5.011992,19,125.518857
5.952797,24,127.273988
6.257486,25,129.167363
6.091582,21,130.708749
5.679332,22,132.367884
5.006015,14,133.404197
6.166637,27,135.4035
4.564931,21,137.010777
5.760835,21,138.577665
5.234069,20,140.082757
5.620036,23,141.797048
4.070133,19,143.188607
4.331092,18,144.556209
6.171682,21,146.095629
5.585371,19,147.534427
5.488857,19,148.941789
4.119752,19,150.368094
5.340682,17,151.658398
4.823506,17,152.916736
5.197915,18,154.254438
5.574844,24,156.064319
6.191415,21,157.618039
5.839067,21,159.20486
5.928525,21,160.772279
5.705224,18,162.160928
6.480954,22,163.75291
4.30674,21,165.312763
6.091132,26,167.262634
5.700422,24,169.139407
5.810594,18,170.620642
5.491326,22,172.515552
5.938441,21,174.332063
6.120062,25,176.376877
6.453456,26,178.347354
6.053273,20,179.820375
4.918323,23,181.584124
5.064926,25,183.400254
6.161412,29,185.546746
5.40673,21,187.098557
4.210964,21,188.633142
4.191415,17,189.929574
6.237968,24,191.70443
