# {"t_start": 1672454481.7967906, "env_id": "PctContinuous-v0"} 
r,l,t
5.057532,28,3.863021
4.679446,16,4.946379
4.442721,17,6.213925
4.251658,19,7.578805
3.913377,16,8.770022
5.418084,19,10.163479
4.321542,19,11.551849
4.328181,18,12.874255
5.310794,21,14.439292
5.324515,20,15.875039
4.307959,18,17.215979
3.767755,13,18.150185
3.634651,15,19.242476
4.478475,19,20.693074
4.544605,23,22.385772
5.425791,15,23.484958
5.003269,18,24.84576
5.84059,23,26.496813
5.684878,20,28.006085
3.094955,15,29.08985
3.531758,11,29.894471
5.390474,23,31.628381
4.532105,15,32.730154
3.25886,15,33.826549
4.394494,18,35.102515
4.65259,23,36.826617
3.163806,13,37.748441
4.853464,20,39.243641
3.552943,13,40.219867
4.58499,18,41.53614
5.69258,23,43.226918
4.009571,15,44.325166
5.945708,25,46.120805
3.141958,16,47.323747
5.495462,23,49.003495
4.624151,20,50.506345
4.452997,22,52.094826
5.622465,25,53.953471
4.373284,20,55.422155
5.00472,22,57.012526
4.940605,24,58.833041
5.02353,19,60.17968
4.189938,16,61.419413
5.500544,17,62.611097
5.555801,24,64.373341
5.575749,20,65.891691
4.426441,12,66.735031
5.102552,21,68.253695
5.526048,26,70.204611
3.568853,15,71.308645
5.701599,19,72.698329
2.985113,18,74.006855
5.02857,18,75.311877
2.271455,14,76.347267
5.349436,24,78.069227
4.277801,19,79.528883
5.546099,19,80.933762
3.943198,16,82.099854
4.975507,24,83.902995
5.476341,28,85.901385
3.620554,16,87.133856
3.148277,11,87.93486
4.930606,21,89.476943
5.447321,22,91.139653
5.625551,22,92.768193
5.103831,22,94.444745
4.649885,23,96.142631
4.61493,20,97.612689
4.253617,14,98.682576
5.149403,20,100.146738
3.563757,14,101.169747
4.698448,23,102.910107
6.266411,23,104.556792
5.111988,23,106.272452
5.313139,23,107.985991
5.525125,19,109.431768
6.22704,24,111.149685
5.918134,26,113.113395
4.771629,21,114.680355
4.30475,17,115.918983
6.619408,25,117.812168
5.144061,20,119.277478
6.269623,30,121.54041
6.009646,25,123.399636
4.189588,19,124.840682
4.645908,15,125.916479
5.025175,17,127.173668
4.88741,20,128.695964
5.239074,14,129.747107
6.228758,26,131.688581
5.952303,22,133.317235
6.103062,26,135.290518
3.13606,13,136.265278
5.265212,21,137.835761
5.127519,23,139.540745
6.194289,21,141.117185
6.099536,25,143.007972
6.404125,24,144.764504
6.671123,29,146.921393
5.605394,23,148.653775
6.255961,24,150.467028
4.168868,15,151.58855
6.169359,20,153.048563
5.315591,24,154.856995
5.039322,24,156.627179
6.665038,27,158.692954
5.302885,20,160.19085
5.86476,25,162.077387
5.871266,25,163.90229
5.21934,16,165.111242
5.921915,24,166.921291
5.94466,20,168.459285
5.459133,25,170.569515
3.980805,23,172.507198
5.603895,24,174.590822
4.140256,19,176.065572
4.934509,20,177.607407
6.051728,28,179.651339
4.952761,20,181.169831
5.778075,17,182.427925
5.286896,14,183.475758
5.207549,20,184.962622
6.135169,28,186.974822
6.288214,27,189.033003
6.932803,31,191.321446
5.04782,22,192.97939
5.835897,15,194.061579
5.237989,18,195.41827
5.277272,24,197.198163
5.755468,26,199.119401
5.746139,16,200.333568
5.120744,20,201.817178
5.549134,24,203.631714
4.69519,19,205.030769
5.604347,24,206.847066
5.904166,25,208.853705
5.012192,19,210.430562
6.116321,33,213.174891
5.592227,20,214.714496
6.065081,23,216.420807
6.421306,31,218.783723
5.29165,26,220.696995
5.316214,15,221.81335
5.190384,21,223.412591
4.83282,19,224.819804
5.514113,23,226.523825
5.494066,25,228.360916
4.607033,22,230.031784
5.074645,22,231.642451
6.035939,23,233.367421
5.626226,21,234.934145
5.616145,26,236.811221
6.772538,33,239.314878
5.904366,23,240.978467
6.40109,29,243.171542
5.134793,16,244.35044
6.195642,32,246.788841
5.643255,25,248.667368
5.267795,27,250.650649
6.311862,30,252.927417
6.022213,26,254.831769
6.166342,23,256.557953
5.538715,21,258.199094
5.544673,21,259.748902
5.357909,27,261.802448
6.042287,20,263.277092
3.922984,20,264.806529
