# {"t_start": 1672454481.0785484, "env_id": "PctContinuous-v0"} 
r,l,t
5.163199,22,4.151359
4.866517,20,5.527745
4.686597,17,6.767682
4.953489,22,8.380395
4.751024,22,9.971485
4.80969,22,11.597139
4.480397,23,13.28003
5.760662,24,15.077532
4.713972,17,16.299458
5.146456,17,17.552413
5.933597,16,18.725431
4.557048,23,20.371908
2.782639,17,21.69641
3.275435,10,22.434205
2.848066,15,23.539312
5.071701,24,25.359953
5.153286,21,26.864093
3.909956,17,28.075211
4.600617,19,29.501604
5.311245,27,31.478985
4.329418,22,33.151094
3.538694,13,34.068214
4.858533,16,35.242303
4.829987,20,36.733203
4.726758,20,38.199269
5.388473,20,39.691343
5.82768,25,41.538975
4.259147,21,43.047371
5.367049,20,44.529727
4.264971,14,45.545935
4.932558,18,46.831448
5.709056,17,48.127463
5.494445,18,49.423425
3.990803,19,50.855568
5.413583,21,52.374989
3.790268,17,53.614281
3.093418,13,54.599234
4.95396,21,56.133197
3.078815,11,56.932883
6.354287,22,58.557736
5.57469,26,60.471243
5.686123,25,62.327064
4.852597,17,63.544009
5.965867,24,65.289613
5.470511,22,66.955623
5.319564,18,68.239301
4.566672,15,69.376267
5.740639,28,71.415345
5.390058,23,73.146289
5.616353,24,74.851107
4.998624,23,76.55568
5.055593,24,78.297373
4.994397,25,80.175251
4.145175,17,81.405383
6.306297,33,83.891224
5.144737,18,85.168819
4.053154,19,86.545589
4.838264,17,87.842864
5.256142,22,89.446144
4.573125,18,90.782121
5.634926,27,92.808421
4.256132,19,94.215568
4.697156,20,95.763397
5.486343,26,97.639256
3.852255,14,98.731197
4.598318,21,100.260057
4.633029,19,101.672727
5.94086,24,103.490004
5.31385,18,104.761446
4.928451,19,106.17766
5.12659,19,107.598381
5.717383,20,109.07414
5.225544,19,110.505755
4.911877,19,111.862828
5.154847,22,113.523699
5.350353,24,115.323467
5.61939,21,116.861709
5.533528,17,118.164255
5.659333,29,120.294606
3.284721,13,121.319533
4.398857,17,122.556952
5.613712,30,124.832717
5.560992,25,126.627339
5.985594,21,128.200313
5.973409,24,130.023356
6.215103,28,132.126969
7.219734,26,134.028245
6.253701,26,136.002944
4.827914,25,137.876091
6.276199,25,139.741358
4.965137,20,141.220196
6.509772,31,143.557228
5.135759,20,145.036519
5.929976,25,146.857176
5.858854,23,148.600769
6.422747,31,150.943834
5.051321,25,152.80885
5.321494,25,154.699744
5.775082,27,156.665925
6.168347,24,158.47856
5.775045,19,159.911116
5.85233,27,161.924104
6.136598,20,163.425293
5.56505,19,164.811182
5.697226,23,166.547434
6.225409,26,168.566567
4.93411,22,170.314972
6.212397,27,172.629362
5.387554,24,174.706225
6.2927,27,176.847249
5.965643,16,178.085737
4.615684,19,179.486212
6.119346,24,181.279732
6.421762,19,182.698688
5.65326,25,184.550487
4.966778,20,186.03574
5.13118,22,187.619935
5.351833,28,189.743807
5.839535,21,191.294381
5.02629,20,192.811346
5.703345,21,194.335347
5.290836,20,195.828941
6.006905,19,197.257899
5.776761,23,198.912934
4.235285,17,200.233267
5.508771,25,202.092432
5.542564,27,204.115913
5.279051,24,205.896281
5.271447,24,207.762032
4.984948,27,209.893028
4.262838,20,211.56094
6.30908,22,213.401961
4.724169,12,214.369487
5.01842,20,215.914876
5.733317,24,217.654463
6.052929,20,219.149829
5.356199,19,220.600712
6.147962,25,222.447603
5.026013,21,224.056528
5.488601,25,225.9046
5.815325,31,228.192522
5.244775,15,229.292836
5.322796,22,230.943733
4.837169,18,232.287794
4.73081,20,233.773687
4.386932,20,235.279063
5.79216,25,237.107402
4.664264,20,238.605113
6.451141,27,240.591388
5.24916,20,242.098967
2.616667,11,242.930971
4.906991,21,244.480376
5.39329,27,246.515506
5.73556,21,248.089874
4.99014,17,249.372936
5.028457,22,250.985286
5.519163,19,252.410159
5.976356,26,254.372231
5.267349,14,255.404336
5.676407,28,257.540384
3.945707,14,258.608178
4.24921,18,259.95295
6.663961,25,261.832188
4.743392,21,263.397821
5.844626,30,265.647787
5.962678,30,267.868761
4.731358,24,269.680979
5.911322,21,271.199003
5.584738,23,272.969169
5.524482,20,274.411205
6.3365,21,276.024355
4.956086,18,277.383845
6.752418,33,279.866908
5.597371,19,281.283944
5.908469,22,282.931522
6.103942,23,284.694265
4.238728,17,285.959056
5.672912,24,287.76125
4.595332,20,289.206794
5.392714,22,290.874199
5.517143,22,292.456776
4.61746,26,294.428935
5.842594,22,296.074135
5.90073,21,297.596391
6.686058,24,299.392296
5.503834,24,301.165023
6.009438,27,303.195205
4.480058,20,304.665168
5.36277,19,306.112923
4.941732,21,307.702035
5.725483,18,308.989295
3.125119,12,309.933581
5.175141,24,311.690668
6.576466,26,313.647548
5.695223,20,315.122246
6.274109,22,316.765609
5.557809,28,318.824892
3.903411,16,320.008173
6.04263,26,321.953958
6.14001,25,323.795447
4.938791,21,325.407859
5.609575,27,327.407387
5.25307,22,329.072439
5.403768,24,330.848582
5.817832,26,332.824479
6.148216,26,334.753439
6.009265,33,337.275904
6.558773,21,338.827409
5.94772,25,340.696811
5.836238,23,342.392678
4.921721,22,344.036256
5.256489,17,345.33257
5.484573,21,346.913866
4.934165,17,348.162142
5.6806,26,350.046096
6.10273,22,351.697965
5.766718,22,353.310466
6.418016,30,355.549131
5.626866,20,357.033604
5.374792,17,358.332824
5.813304,21,359.879622
4.615817,16,361.053025
5.882131,31,363.381121
4.405656,24,365.247159
5.600752,23,366.945832
5.156849,20,368.380606
6.628101,28,370.460871
4.684392,19,371.858203
3.768861,14,372.899075
6.445328,20,374.381657
6.255173,28,376.474703
5.710415,22,378.098775
5.326042,22,379.699103
5.928281,17,381.030951
5.023537,24,382.804263
5.543377,21,384.411161
5.177419,20,385.894588
6.311575,26,387.856259
4.694705,21,389.382118
6.027734,29,391.589945
5.709932,29,393.733234
6.129226,30,395.950089
6.549548,28,398.001704
6.707122,22,399.706591
6.148343,29,401.791487
5.905113,21,403.405477
5.030757,21,404.944882
4.808874,28,407.04809
4.683097,17,408.30943
5.848754,28,410.378016
5.221263,19,411.815876
5.933601,23,413.599125
4.914831,29,415.730829
5.462641,22,417.377057
5.862437,25,419.250221
5.654519,24,421.114053
